iter	Passed	Remaining
0	144	143994
1	144	72277
2	145	48339
3	146	36364
4	146	29184
5	147	24397
6	147	20977
7	148	18407
8	149	16409
9	149	14811
10	150	13506
11	150	12422
12	151	11507
13	152	10715
14	152	10032
15	153	9432
16	153	8902
17	154	8431
18	155	8009
19	155	7628
20	156	7285
21	156	6975
22	157	6688
23	157	6423
24	158	6179
25	158	5955
26	159	5746
27	159	5552
28	160	5372
29	161	5206
30	161	5051
31	162	4903
32	162	4766
33	163	4636
34	163	4512
35	164	4395
36	164	4286
37	165	4184
38	165	4086
39	166	3991
40	166	3903
41	167	3818
42	167	3738
43	168	3660
44	169	3587
45	169	3517
46	170	3454
47	170	3390
48	171	3327
49	172	3268
50	172	3210
51	173	3155
52	173	3102
53	174	3050
54	174	3001
55	175	2954
56	175	2908
57	176	2864
58	176	2820
59	177	2779
60	177	2738
61	178	2700
62	179	2663
63	179	2625
64	180	2591
65	180	2557
66	181	2524
67	181	2488
68	182	2457
69	182	2426
70	183	2396
71	183	2367
72	184	2339
73	184	2311
74	185	2285
75	185	2259
76	186	2233
77	186	2208
78	187	2184
79	187	2161
80	188	2138
81	188	2115
82	189	2094
83	190	2072
84	190	2050
85	190	2029
86	191	2007
87	191	1988
88	192	1968
89	192	1950
90	193	1931
91	193	1914
92	194	1896
93	195	1880
94	195	1863
95	196	1847
96	196	1831
97	197	1815
98	197	1800
99	198	1785
100	198	1770
101	199	1753
102	199	1739
103	200	1724
104	200	1710
105	201	1697
106	201	1684
107	202	1670
108	202	1657
109	203	1645
110	203	1632
111	204	1620
112	204	1608
113	205	1596
114	205	1584
115	206	1572
116	206	1561
117	207	1550
118	207	1539
119	208	1528
120	208	1518
121	209	1508
122	209	1496
123	210	1486
124	210	1476
125	211	1466
126	211	1456
127	212	1446
128	212	1437
129	213	1427
130	213	1418
131	214	1409
132	214	1400
133	215	1392
134	215	1383
135	216	1375
136	217	1367
137	217	1358
138	217	1350
139	218	1342
140	218	1333
141	219	1326
142	220	1318
143	220	1310
144	221	1303
145	221	1296
146	222	1289
147	222	1282
148	223	1276
149	224	1270
150	224	1263
151	225	1257
152	225	1250
153	226	1244
154	227	1237
155	227	1231
156	228	1224
157	228	1218
158	229	1211
159	229	1205
160	230	1199
161	230	1193
162	231	1187
163	231	1181
164	232	1175
165	232	1169
166	233	1163
167	233	1158
168	234	1152
169	234	1146
170	235	1141
171	235	1135
172	236	1130
173	237	1125
174	237	1119
175	238	1114
176	238	1109
177	239	1104
178	239	1099
179	240	1094
180	240	1087
181	240	1082
182	241	1077
183	241	1073
184	242	1068
185	242	1063
186	243	1058
187	244	1054
188	244	1049
189	245	1044
190	245	1039
191	246	1035
192	246	1030
193	247	1026
194	247	1022
195	248	1017
196	248	1013
197	249	1009
198	249	1005
199	250	1001
200	250	997
201	251	992
202	251	988
203	252	984
204	252	980
205	253	976
206	253	973
207	254	969
208	255	965
209	255	961
210	256	957
211	256	953
212	257	949
213	257	946
214	258	942
215	258	938
216	259	934
217	259	931
218	260	927
219	260	924
220	261	920
221	261	916
222	262	913
223	262	910
224	263	906
225	263	903
226	264	900
227	264	896
228	265	893
229	265	890
230	266	887
231	266	883
232	267	880
233	268	877
234	268	874
235	269	871
236	269	868
237	270	865
238	270	862
239	271	858
240	271	855
241	272	852
242	272	849
243	273	846
244	273	843
245	274	840
246	274	837
247	275	834
248	275	831
249	276	828
250	276	826
251	277	823
252	277	820
253	278	817
254	279	815
255	279	812
256	280	809
257	280	806
258	281	804
259	281	801
260	282	798
261	282	796
262	283	793
263	283	791
264	284	788
265	284	786
266	285	783
267	285	780
268	286	778
269	286	775
270	287	773
271	287	770
272	288	767
273	288	765
274	289	763
275	289	760
276	290	758
277	291	755
278	291	753
279	292	751
280	292	748
281	293	746
282	293	743
283	294	741
284	294	739
285	295	736
286	295	734
287	296	732
288	296	729
289	297	727
290	297	725
291	298	723
292	298	721
293	299	718
294	299	716
295	300	714
296	300	712
297	301	710
298	301	707
299	302	705
300	302	703
301	303	701
302	304	699
303	304	697
304	305	695
305	305	693
306	306	691
307	306	689
308	307	687
309	307	685
310	308	683
311	308	681
312	309	679
313	310	677
314	310	675
315	311	673
316	311	671
317	312	669
318	312	667
